ID,Tool
7752,Extensão Tripla 220V
4282,Aparelho de soldar TIG
4460,Projetor LED a bateria
3251,Cilindro Hidráulico
4466,Projetor LED a bateria
23801,Compasso de pernas Int 200 mm
34367,Alcaiata macho M30 (Olhal de Suspensão)
5368,NÃO USAR
23559,Régua de Alumínio 2 Mt
22424,Chave de Pancada Luneta 35
4553,Caixa de Ferramenta Mecânico com Roquete e Agulheta
4558,Caixa de Ferramenta Mecânico com Roquete e Agulheta
4564,Caixa de Ferramenta Mecânico com Roquete e Agulheta
4560,Caixa de Ferramenta Mecânico c/ Roquete e Agulheta
4554,Caixa de Ferramenta Mecânico com Roquete e Agulheta
4563,Caixa de Ferramenta Mecânico com Roquete e Agulheta
27659,Corta tubos para tubos 3-35
5175,Chave de Luneta 36-41
23798,"Cardan 1/2"""
27252,Catrabucha Inox Reb. 125 Entrançada Plana
9765,Bomba Hidráulica 700 bar
9758,Cilindro Hidráulico Compacto 30 Ton
9769,Cilindro Hidráulico Compacto 10 Ton
9770,Cilindro Hidráulico 20 Ton
9766,Bomba Hidráulica 700 bar
9773,Cilindro Hidráulico 5 Ton
9789,Cilindro Hidráulico furado 30 Ton
9772,Cilindro Hidráulico 5 Ton
9848,Cilindro Hidráulico 60 TON
9774,Cilindro Hidráulico 50 Ton
9771,Cilindro Hidráulico 20 Ton
4338,"Aparafusadora de Impacto 3/4"""
9849,Cilindro Hidráulico 60 TON
9791,Cilindro Hidráulico 50 Ton
9844,Cilindro Hidráulico 20 Ton
4340,"Aparafusadora de Impacto 3/4"""
9768,Cilindro Hidráulico Compacto 10 Ton
8840,Cilindro Hidráulico 11 Ton
9764,Bomba Hidráulica 700 bar
4438,"Aparafusadora Pneumática de Impacto 1"""
4352,Chicote CEE - Schuko Triplo
9759,Cilindro Hidráulico Compacto 30 Ton
4439,"Aparafusadora Pneumática de Impacto 1"""
3120,Chicote 63 Amp. 5 Pinos - 32 Amp. 5 Pinos
4334,Chicote 63 Amp. 4 Pinos - 32 Amp. 4 Pinos
9790,Cilindro Hidráulico furado 30 Ton
4337,Chicote 32 Amp. 4 Pinos - 16 Amp. 4 Pinos
9760,Cilindro Hidráulico 10 Ton
4335,Tico-Tico (serra de recortes)
4562,Caixa de Ferramenta Mecânico com Roquete e Agulheta
8215,Chicote 63 Amp. 5 Pinos - 63 Amp. 4 Pinos
6381,Bomba Hidráulica c/ accionamento pneumático
4316,Retificadora a bateria diam. 125 mm
4461,Projetor LED a bateria
4530,Extensão CEE 16 Amp.
4319,Retificadora a bateria diam. 125 mm
3462,Extensão 32 Amp. 4 Pinos
4235,Extensão Tripla 220V
4348,Extensão 32 Amp. 4 Pinos
4430,Tico-Tico a bateria (serra de recortes)
4539,Mangueira de Ar
8843,Cilindro Hidráulico 10Ton (cunha)
4355,Chicote CEE - Schuko Triplo
8722,Antiqueda com chicote em V com amortecedor/absorvedor
